fbgn	protein_id	total_length	disorder_fraction	max_disordered_region	n_disordered_residues	mean_score
FBgn0260474	FBpp0291260	311	0.2572	26	80	0.3390
FBgn0033439	FBpp0087551	317	0.2681	23	85	0.3449
FBgn0033440	FBpp0087552	322	0.2547	13	82	0.3413
FBgn0005614	FBpp0087555	1124	0.4893	165	550	0.3903
FBgn0033443	FBpp0087558	654	0.2217	51	145	0.2860
FBgn0040092	FBpp0290920	322	0.3820	26	123	0.3705
FBgn0040093	FBpp0087560	328	0.5396	87	177	0.4145
FBgn0033449	FBpp0087561	387	0.7209	62	279	0.4479
FBgn0033451	FBpp0087562	340	0.4206	32	143	0.3830
FBgn0023180	FBpp0087566	257	0.6226	81	160	0.4328
FBgn0033450	FBpp0087569	256	0.6836	63	175	0.4677
FBgn0033448	FBpp0087570	456	0.9101	83	415	0.4880
FBgn0033447	FBpp0301614	1155	0.8978	251	1037	0.5080
FBgn0050001	FBpp0087576	386	0.2668	19	103	0.3530
FBgn0033446	FBpp0087578	232	0.6336	67	147	0.4530
FBgn0027589	FBpp0087579	918	0.4728	57	434	0.3862
FBgn0033442	FBpp0087580	132	0.7348	76	97	0.4525
FBgn0023143	FBpp0087583	1191	0.4492	90	535	0.3929
FBgn0033438	FBpp0087585	758	0.5686	225	431	0.4815
FBgn0033437	FBpp0087586	313	0.4856	32	152	0.3895
FBgn0016970	FBpp0087589	221	0.5158	45	114	0.4041
FBgn0041087	FBpp0087590	350	0.3400	55	119	0.3391
FBgn0033413	FBpp0305218	236	0.5127	44	121	0.4052
FBgn0017558	FBpp0111805	422	0.3981	49	168	0.3720
FBgn0004360	FBpp0087596	352	0.5085	40	179	0.3898
FBgn0033422	FBpp0087602	396	0.1894	24	75	0.3016
FBgn0033423	FBpp0087603	515	0.3476	49	179	0.3682
FBgn0033426	FBpp0087605	548	0.4799	40	263	0.3909
FBgn0033428	FBpp0087607	356	0.2921	27	104	0.3505
FBgn0033431	FBpp0308484	393	0.3791	62	149	0.3543
FBgn0010342	FBpp0087613	440	0.7591	132	334	0.4795
FBgn0033434	FBpp0087614	312	0.4071	38	127	0.3830
FBgn0050338	FBpp0087616	288	0.5486	61	158	0.4172
FBgn0050339	FBpp0087617	308	0.6104	43	188	0.4091
FBgn0050340	FBpp0087618	396	0.3056	36	121	0.3179
FBgn0033429	FBpp0087624	142	0.2324	23	33	0.2944
FBgn0033427	FBpp0087625	751	0.4154	58	312	0.3911
FBgn0033421	FBpp0087630	372	0.6613	58	246	0.4484
FBgn0029092	FBpp0297720	533	0.7692	71	410	0.4590
FBgn0033412	FBpp0087634	326	0.8528	80	278	0.4799
FBgn0016078	FBpp0087635	379	0.3562	77	135	0.3693
FBgn0028473	FBpp0087637	652	0.5951	61	388	0.4256
FBgn0033408	FBpp0087638	188	0.4574	31	86	0.4096
FBgn0033405	FBpp0305211	775	0.7161	128	555	0.4612
FBgn0011746	FBpp0289728	477	0.7966	153	380	0.4944
FBgn0025709	FBpp0087643	603	0.2206	53	133	0.2820
FBgn0033371	FBpp0289410	590	0.1559	44	92	0.2566
FBgn0010220	FBpp0087645	521	0.5202	136	271	0.4160
FBgn0033376	FBpp0087646	1233	0.3350	41	413	0.3625
FBgn0015838	FBpp0303474	608	0.5576	95	339	0.4022
FBgn0033378	FBpp0087648	165	0.6182	50	102	0.4453
FBgn0003612	FBpp0087651	640	0.6312	107	404	0.4456
FBgn0033381	FBpp0087660	226	0.3982	34	90	0.3584
FBgn0033382	FBpp0087661	525	0.2476	45	130	0.3442
FBgn0028955	FBpp0087662	80	0.8000	62	64	0.4869
FBgn0050342	FBpp0087663	330	0.7212	169	238	0.5192
FBgn0050344	FBpp0087664	507	0.1440	27	73	0.2873
FBgn0050345	FBpp0293860	496	0.1875	28	93	0.2909
FBgn0033389	FBpp0290742	336	0.4107	30	138	0.3730
FBgn0015561	FBpp0087667	485	0.6619	133	321	0.4493
FBgn0033395	FBpp0087672	520	0.3462	32	180	0.3602
FBgn0015037	FBpp0087673	513	0.3821	43	196	0.3644
FBgn0033397	FBpp0087674	515	0.4350	32	224	0.3875
FBgn0050343	FBpp0087675	170	0.3235	26	55	0.3585
FBgn0033401	FBpp0087676	630	0.4048	38	255	0.3827
FBgn0028408	FBpp0111843	549	0.4444	43	244	0.3896
FBgn0033402	FBpp0087679	537	0.6778	156	364	0.4416
FBgn0026326	FBpp0087680	730	0.7329	82	535	0.4646
FBgn0033400	FBpp0087681	325	0.8615	132	280	0.5272
FBgn0020621	FBpp0111810	1501	0.6289	118	944	0.4390
FBgn0033392	FBpp0087690	666	0.4940	82	329	0.3967
FBgn0033391	FBpp0291674	322	0.3043	18	98	0.3423
FBgn0015477	FBpp0087699	2408	0.4282	97	1031	0.3880
FBgn0033388	FBpp0087701	519	0.2563	42	133	0.2984
FBgn0033387	FBpp0113090	566	0.1996	24	113	0.3020
FBgn0027561	FBpp0087707	908	0.5804	111	527	0.4273
FBgn0033379	FBpp0087709	712	0.5871	119	418	0.4380
FBgn0033377	FBpp0087711	623	0.3917	62	244	0.3804
FBgn0033375	FBpp0087712	343	0.3848	30	132	0.3811
FBgn0033374	FBpp0087713	367	0.7711	101	283	0.4697
FBgn0033373	FBpp0087714	413	0.5593	59	231	0.3954
FBgn0033372	FBpp0301832	729	0.2140	30	156	0.3211
FBgn0024189	FBpp0110338	1542	0.5642	65	870	0.4171
FBgn0050350	FBpp0087717	369	0.4390	41	162	0.3883
FBgn0011286	FBpp0293114	5134	0.4236	102	2175	0.3829
FBgn0021825	FBpp0087722	380	0.6737	50	256	0.4353
FBgn0033339	FBpp0311417	1260	0.5651	85	712	0.4238
FBgn0033340	FBpp0087725	77	0.9091	43	70	0.5071
FBgn0004921	FBpp0087726	70	0.9429	34	66	0.4740
FBgn0050349	FBpp0087731	620	0.4903	93	304	0.3996
FBgn0002552	FBpp0087732	858	0.4196	49	360	0.3826
FBgn0033349	FBpp0087733	517	0.6654	70	344	0.4392
FBgn0033350	FBpp0087734	325	0.2800	28	91	0.3440
FBgn0033352	FBpp0087735	1241	0.5383	60	668	0.4128
FBgn0033353	FBpp0428453	251	0.3546	16	89	0.3674
FBgn0033355	FBpp0087737	113	0.3805	23	43	0.3323
FBgn0033357	FBpp0087738	54	0.0185	1	1	0.2400
FBgn0011300	FBpp0087739	622	0.4309	28	268	0.3788
FBgn0033364	FBpp0087741	222	0.0766	7	17	0.2350
FBgn0033369	FBpp0087742	387	0.2222	26	86	0.3520
FBgn0033368	FBpp0087743	528	0.2348	54	124	0.3023
FBgn0033367	FBpp0087744	684	0.4649	45	318	0.4011
FBgn0033366	FBpp0087745	609	0.4844	55	295	0.3833
FBgn0033365	FBpp0087746	855	0.5322	66	455	0.4152
FBgn0033363	FBpp0087747	389	0.3085	46	120	0.3436
FBgn0033362	FBpp0290411	561	0.4189	84	235	0.3819
FBgn0033358	FBpp0087752	245	0.3673	25	90	0.3633
FBgn0033356	FBpp0288717	335	0.8358	90	280	0.4812
FBgn0027607	FBpp0087755	699	0.2747	22	192	0.3433
FBgn0033354	FBpp0087756	1481	0.4625	186	685	0.4062
FBgn0033351	FBpp0087757	323	0.4396	30	142	0.4041
FBgn0033348	FBpp0288472	591	0.4010	85	237	0.3849
FBgn0033347	FBpp0087759	227	0.5683	60	129	0.4373
FBgn0003074	FBpp0087760	558	0.3638	31	203	0.3635
FBgn0033344	FBpp0087763	292	0.2911	25	85	0.3708
FBgn0033341	FBpp0087765	201	0.6915	117	139	0.4948
FBgn0027513	FBpp0087766	420	0.8738	118	367	0.4911
FBgn0033337	FBpp0303279	710	0.2718	44	193	0.3503
FBgn0053199	FBpp0087769	79	0.4937	22	39	0.4067
FBgn0033304	FBpp0087770	493	0.4097	27	202	0.3788
FBgn0033307	FBpp0087771	112	0.0000	0	0	0.2738
FBgn0033313	FBpp0302596	1711	0.5558	110	951	0.4107
FBgn0022027	FBpp0087774	174	0.5230	29	91	0.4071
FBgn0033316	FBpp0087775	677	0.5451	96	369	0.4370
FBgn0050354	FBpp0087782	86	0.4884	33	42	0.3846
FBgn0001285	FBpp0087783	271	0.2251	16	61	0.3227
FBgn0033321	FBpp0087784	459	0.5076	58	233	0.3943
FBgn0033323	FBpp0087785	617	0.1588	67	98	0.2792
FBgn0043576	FBpp0087786	185	0.1784	8	33	0.3194
FBgn0033327	FBpp0087787	185	0.1784	8	33	0.3194
FBgn0043575	FBpp0087788	184	0.2772	20	51	0.3294
FBgn0005695	FBpp0087789	569	0.4710	55	268	0.3941
FBgn0033330	FBpp0087793	329	0.8906	99	293	0.5089
FBgn0050356	FBpp0087796	149	0.7315	43	109	0.4303
FBgn0040777	FBpp0087798	432	0.4375	38	189	0.3518
FBgn0050357	FBpp0087800	451	0.4169	24	188	0.3790
FBgn0033326	FBpp0297866	611	0.1555	24	95	0.2625
FBgn0033324	FBpp0297867	620	0.2113	97	131	0.2893
FBgn0033322	FBpp0087803	293	0.1911	18	56	0.3354
FBgn0033320	FBpp0087804	444	0.5023	49	223	0.3901
FBgn0050355	FBpp0087805	186	0.6720	44	125	0.4271
FBgn0033317	FBpp0087806	404	0.6609	98	267	0.4644
FBgn0033315	FBpp0087807	382	0.4162	33	159	0.3880
FBgn0033312	FBpp0302640	429	0.5291	78	227	0.4101
FBgn0033309	FBpp0087809	387	0.6951	102	269	0.4420
FBgn0033308	FBpp0288719	163	0.6258	63	102	0.4598
FBgn0033302	FBpp0311645	509	0.4224	31	215	0.3689
FBgn0033301	FBpp0087815	100	0.4800	19	48	0.3916
FBgn0033283	FBpp0087818	286	0.8112	57	232	0.5089
FBgn0033287	FBpp0087819	246	0.8171	40	201	0.4688
FBgn0028836	FBpp0087821	278	0.5360	81	149	0.4063
FBgn0002534	FBpp0087822	112	0.2411	22	27	0.3199
FBgn0002535	FBpp0087823	112	0.2679	25	30	0.3344
FBgn0014469	FBpp0087824	526	0.4639	28	244	0.3845
FBgn0015034	FBpp0087825	531	0.4501	35	239	0.3806
FBgn0002569	FBpp0087826	567	0.4039	48	229	0.3724
FBgn0033294	FBpp0087827	579	0.4145	51	240	0.3824
FBgn0050359	FBpp0087828	630	0.4270	42	269	0.3875
FBgn0050360	FBpp0312227	601	0.4376	75	263	0.3699
FBgn0033297	FBpp0087831	588	0.5289	52	311	0.4082
FBgn0050361	FBpp0303458	1472	0.4586	107	675	0.3890
FBgn0033296	FBpp0087836	599	0.4073	48	244	0.3712
FBgn0002571	FBpp0087837	574	0.3136	33	180	0.3593
FBgn0002570	FBpp0087838	577	0.4211	46	243	0.3880
FBgn0033292	FBpp0087839	516	0.3527	32	182	0.3678
FBgn0002533	FBpp0087840	126	0.3492	13	44	0.3496
FBgn0002531	FBpp0087841	130	0.3462	13	45	0.3588
FBgn0033289	FBpp0288563	536	0.2220	28	119	0.2872
FBgn0033286	FBpp0087843	305	0.7180	101	219	0.4785
FBgn0050362	FBpp0087847	255	0.7961	62	203	0.4755
FBgn0050363	FBpp0087848	259	0.8340	79	216	0.4797
FBgn0050366	FBpp0087849	284	0.7711	78	219	0.4617
FBgn0050364	FBpp0087850	291	0.7457	77	217	0.4433
FBgn0050365	FBpp0087851	469	0.8038	172	377	0.4977
FBgn0028563	FBpp0087855	507	0.1992	31	101	0.2583
FBgn0028562	FBpp0087856	491	0.1507	42	74	0.2698
FBgn0028561	FBpp0087857	476	0.1870	40	89	0.2577
FBgn0033257	FBpp0087858	395	0.3772	80	149	0.3506
FBgn0033259	FBpp0087859	760	0.3513	54	267	0.3379
FBgn0033261	FBpp0087860	159	0.7673	39	122	0.4731
FBgn0033264	FBpp0087861	564	0.7323	109	413	0.4687
FBgn0033266	FBpp0087862	342	0.7047	46	241	0.4551
FBgn0005648	FBpp0087863	224	0.6250	67	140	0.4408
FBgn0021995	FBpp0087865	782	0.6304	159	493	0.4465
FBgn0033273	FBpp0087866	461	0.3124	25	144	0.3446
FBgn0011659	FBpp0087867	664	0.5271	118	350	0.4084
FBgn0053087	FBpp0311204	4752	0.4320	83	2053	0.3858
FBgn0013726	FBpp0087869	539	0.6122	130	330	0.4401
FBgn0033277	FBpp0087871	529	0.4329	53	229	0.3887
FBgn0050369	FBpp0087872	87	0.5747	36	50	0.4206
FBgn0033278	FBpp0087873	126	0.6905	45	87	0.4449
FBgn0050371	FBpp0087874	399	0.3885	27	155	0.3712
FBgn0050375	FBpp0087875	398	0.3166	25	126	0.3696
FBgn0050376	FBpp0087876	226	0.8982	138	203	0.5114
FBgn0033280	FBpp0087877	109	0.8257	64	90	0.5147
FBgn0033279	FBpp0087878	111	0.7207	61	80	0.4575
FBgn0010109	FBpp0087879	435	0.7471	70	325	0.4469
FBgn0033275	FBpp0087880	236	0.8686	165	205	0.5502
FBgn0033274	FBpp0087881	163	0.6687	41	109	0.4492
FBgn0050373	FBpp0087882	158	0.5886	30	93	0.3997
FBgn0033272	FBpp0087883	385	0.3896	30	150	0.3751
FBgn0033271	FBpp0087885	450	0.4844	90	218	0.4253
FBgn0010504	FBpp0087887	336	0.4405	57	148	0.4094
FBgn0033268	FBpp0087892	143	0.3636	24	52	0.3584
FBgn0033260	FBpp0087897	821	0.5335	55	438	0.4112
FBgn0033258	FBpp0087898	417	0.7338	162	306	0.4769
FBgn0025469	FBpp0087900	226	0.0531	7	12	0.2532
FBgn0021814	FBpp0087901	210	0.4571	23	96	0.4034
FBgn0040778	FBpp0087902	92	0.3370	16	31	0.3716
FBgn0033252	FBpp0308390	713	0.6662	61	475	0.4457
FBgn0033221	FBpp0087905	144	0.1667	21	24	0.2305
FBgn0033222	FBpp0111963	142	0.0845	11	12	0.2099
FBgn0002891	FBpp0087907	2130	0.5394	370	1149	0.4277
FBgn0003317	FBpp0300982	582	0.4278	101	249	0.3815
FBgn0033226	FBpp0087910	454	0.4736	58	215	0.3853
FBgn0003082	FBpp0087914	555	0.3748	56	208	0.3859
FBgn0033229	FBpp0087917	412	0.6019	86	248	0.4241
FBgn0040780	FBpp0112243	172	0.3605	36	62	0.3835
FBgn0050377	FBpp0087920	897	0.6745	56	605	0.4353
FBgn0015509	FBpp0087921	774	0.6085	51	471	0.4285
FBgn0033234	FBpp0087925	477	0.1992	35	95	0.2889
FBgn0026722	FBpp0087926	1327	0.6579	189	873	0.4461
FBgn0050379	FBpp0293655	295	0.1763	37	52	0.2753
FBgn0033238	FBpp0087929	148	0.4797	32	71	0.4050
FBgn0050378	FBpp0087930	148	0.6216	34	92	0.4089
FBgn0033240	FBpp0111965	456	0.5088	44	232	0.3891
FBgn0027548	FBpp0087934	793	0.6318	80	501	0.4462
FBgn0027054	FBpp0087935	407	0.3907	21	159	0.3785
FBgn0033247	FBpp0087936	354	0.4407	34	156	0.3708
FBgn0013307	FBpp0087939	394	0.2817	24	111	0.3361
FBgn0013308	FBpp0087940	393	0.2748	36	108	0.3410
FBgn0033249	FBpp0087944	303	0.7360	84	223	0.4832
FBgn0027788	FBpp0087945	425	0.7718	119	328	0.4826
FBgn0033248	FBpp0087946	287	0.2439	23	70	0.3313
FBgn0033246	FBpp0087947	2482	0.4339	53	1077	0.3831
FBgn0033244	FBpp0087950	646	0.5031	70	325	0.4117
FBgn0033243	FBpp0087951	189	0.5608	53	106	0.4458
FBgn0026361	FBpp0087953	422	0.5900	78	249	0.4298
FBgn0033241	FBpp0087954	453	0.4547	52	206	0.3872
FBgn0033236	FBpp0087956	437	0.4622	57	202	0.3885
FBgn0050380	FBpp0087957	101	0.3168	21	32	0.3469
FBgn0033235	FBpp0087958	556	0.3759	28	209	0.3671
FBgn0023171	FBpp0087959	333	0.5616	49	187	0.4173
FBgn0050381	FBpp0308274	243	0.3539	34	86	0.3721
FBgn0033233	FBpp0087961	495	0.6384	63	316	0.4316
FBgn0026393	FBpp0087962	403	0.2084	15	84	0.2951
FBgn0033232	FBpp0087963	202	0.4455	23	90	0.3611
FBgn0050382	FBpp0087968	244	0.3893	23	95	0.3853
FBgn0029093	FBpp0087972	392	0.2117	20	83	0.3272
FBgn0033225	FBpp0087973	626	0.3594	19	225	0.3764
FBgn0033224	FBpp0087975	834	0.7542	96	629	0.4760
FBgn0033187	FBpp0087978	927	0.1866	37	173	0.2915
FBgn0033190	FBpp0087981	713	0.3366	61	240	0.3638
FBgn0033192	FBpp0087983	1397	0.5605	113	783	0.4147
FBgn0033194	FBpp0087984	3321	0.4502	54	1495	0.3875
FBgn0050491	FBpp0087993	331	0.5045	34	167	0.3864
FBgn0050495	FBpp0307928	331	0.2870	51	95	0.3486
FBgn0033203	FBpp0087995	325	0.3231	22	105	0.3558
FBgn0033204	FBpp0087996	300	0.4933	26	148	0.3961
FBgn0033205	FBpp0087997	330	0.3303	26	109	0.3604
FBgn0033209	FBpp0087998	135	0.2889	32	39	0.2712
FBgn0050493	FBpp0087999	326	0.4693	31	153	0.3926
FBgn0050496	FBpp0088000	635	0.3370	25	214	0.3587
FBgn0033214	FBpp0088001	352	0.3409	22	120	0.3458
FBgn0033215	FBpp0088002	352	0.2528	18	89	0.3376
FBgn0033216	FBpp0088003	349	0.3782	20	132	0.3588
FBgn0015614	FBpp0088004	170	0.2706	12	46	0.3623
FBgn0000337	FBpp0311059	465	0.2753	25	128	0.3490
FBgn0042135	FBpp0088009	540	0.4981	55	269	0.3914
FBgn0003733	FBpp0088012	923	0.4496	80	415	0.3943
FBgn0033212	FBpp0305131	1486	0.4980	145	740	0.4053
FBgn0033210	FBpp0088015	265	0.6000	49	159	0.4228
FBgn0033208	FBpp0088016	126	0.8016	43	101	0.4695
FBgn0033207	FBpp0088017	130	0.5769	26	75	0.3916
FBgn0033206	FBpp0088018	514	0.6518	74	335	0.4377
FBgn0033202	FBpp0312485	420	0.1476	20	62	0.2732
FBgn0033199	FBpp0088020	271	0.4945	37	134	0.3888
FBgn0028687	FBpp0088021	433	0.4411	66	191	0.3890
FBgn0033196	FBpp0088024	482	0.1950	29	94	0.2780
FBgn0004133	FBpp0088026	644	0.6770	116	436	0.4377
FBgn0004132	FBpp0088027	180	0.7278	54	131	0.4516
FBgn0050499	FBpp0088028	221	0.2262	10	50	0.3336
FBgn0033191	FBpp0088029	336	0.3333	32	112	0.3729
FBgn0033188	FBpp0088031	434	0.3940	55	171	0.3679
FBgn0033186	FBpp0088034	577	0.4922	67	284	0.4148
FBgn0003174	FBpp0304734	1363	0.7007	132	955	0.4658
FBgn0033158	FBpp0088037	329	0.7660	144	252	0.4819
FBgn0033160	FBpp0088040	729	0.4815	52	351	0.3944
FBgn0033164	FBpp0111960	197	0.6954	77	137	0.4737
FBgn0033165	FBpp0111961	138	0.4275	23	59	0.3650
FBgn0003460	FBpp0089177	416	0.5120	152	213	0.4220
FBgn0033169	FBpp0088044	665	0.4602	58	306	0.3887
FBgn0033174	FBpp0088047	388	0.8943	103	347	0.5146
FBgn0033178	FBpp0088048	449	0.4143	29	186	0.3719
FBgn0033185	FBpp0088052	586	0.5341	47	313	0.4082
FBgn0025185	FBpp0088053	593	0.5734	58	340	0.4234
FBgn0033184	FBpp0088054	456	0.3355	21	153	0.3657
FBgn0015929	FBpp0088055	866	0.5393	66	467	0.4082
FBgn0033183	FBpp0088056	586	0.7867	95	461	0.4790
FBgn0010548	FBpp0300518	564	0.4574	83	258	0.3865
FBgn0033179	FBpp0088069	407	0.5823	46	237	0.4216
FBgn0033177	FBpp0088070	710	0.4803	48	341	0.3980
FBgn0050502	FBpp0290181	355	0.2986	52	106	0.3523
FBgn0040513	FBpp0088074	201	0.5124	31	103	0.3965
FBgn0050503	FBpp0088075	173	0.3353	14	58	0.3477
FBgn0033168	FBpp0088076	149	0.2685	17	40	0.3252
FBgn0033167	FBpp0305210	134	0.4104	21	55	0.3693
FBgn0033166	FBpp0088078	504	0.8373	101	422	0.5130
FBgn0041243	FBpp0311196	453	0.2340	37	106	0.3022
FBgn0000352	FBpp0088087	1201	0.6661	151	800	0.4408
FBgn0033159	FBpp0297683	2038	0.5736	199	1169	0.4225
FBgn0033127	FBpp0088094	220	0.3273	38	72	0.2901
FBgn0033128	FBpp0088095	218	0.2385	17	52	0.2561
FBgn0033129	FBpp0088097	231	0.2078	19	48	0.2680
FBgn0033130	FBpp0088099	229	0.2489	29	57	0.2422
FBgn0033132	FBpp0088101	227	0.2467	27	56	0.2973
FBgn0033133	FBpp0088102	215	0.2093	15	45	0.2713
FBgn0033134	FBpp0088103	217	0.2028	25	44	0.2537
FBgn0016032	FBpp0088104	208	0.1154	12	24	0.2515
FBgn0033135	FBpp0088105	218	0.2156	22	47	0.2608
FBgn0033136	FBpp0088106	219	0.1735	9	38	0.2696
FBgn0033139	FBpp0088107	211	0.2417	20	51	0.2644
FBgn0033140	FBpp0312484	174	0.7184	69	125	0.4438
FBgn0024294	FBpp0088112	390	0.4487	66	175	0.3769
FBgn0003090	FBpp0088115	1299	0.6297	200	818	0.4432
FBgn0033149	FBpp0088116	706	0.6955	75	491	0.4448
FBgn0053140	FBpp0088117	720	0.5597	121	403	0.4128
FBgn0050385	FBpp0088118	536	0.6325	66	339	0.4183
FBgn0050384	FBpp0088119	708	0.6737	62	477	0.4520
FBgn0033153	FBpp0088120	163	0.1779	11	29	0.3418
FBgn0026602	FBpp0088121	366	0.2787	24	102	0.3478
FBgn0026389	FBpp0088122	376	0.1330	19	50	0.2869
FBgn0002930	FBpp0088123	476	0.4979	104	237	0.4055
FBgn0044011	FBpp0088124	407	0.2432	27	99	0.3369
FBgn0015039	FBpp0088126	505	0.4634	30	234	0.3784
FBgn0015038	FBpp0088127	505	0.4238	29	214	0.3796
FBgn0033141	FBpp0289340	259	0.7027	63	182	0.4412
FBgn0033138	FBpp0088129	219	0.0822	7	18	0.2623
FBgn0027558	FBpp0088130	667	0.4333	37	289	0.3817
FBgn0033137	FBpp0088131	250	0.2720	29	68	0.3120
FBgn0016126	FBpp0088138	405	0.5383	66	218	0.4109
FBgn0040324	FBpp0088144	652	0.5890	76	384	0.4196
FBgn0039911	FBpp0088148	606	0.4142	37	251	0.3845
FBgn0024728	FBpp0088159	767	0.7836	194	601	0.4712
FBgn0039920	FBpp0088160	628	0.6338	57	398	0.4310
FBgn0026199	FBpp0088161	598	0.6421	78	384	0.4304
FBgn0039916	FBpp0110206	899	0.3215	40	289	0.3600
FBgn0028996	FBpp0088173	1081	0.7021	80	759	0.4507
FBgn0039909	FBpp0088174	468	0.3184	27	149	0.3497
FBgn0026869	FBpp0088175	1738	0.7100	155	1234	0.4652
FBgn0039908	FBpp0289571	1349	0.6501	89	877	0.4443
FBgn0026262	FBpp0088179	1406	0.7212	164	1014	0.4696
FBgn0039907	FBpp0088180	1469	0.7304	217	1073	0.4679
FBgn0024811	FBpp0088181	271	0.6052	51	164	0.4211
FBgn0039896	FBpp0088184	463	0.4665	42	216	0.3898
FBgn0039897	FBpp0300430	905	0.8818	185	798	0.4896
FBgn0026777	FBpp0088191	414	0.7029	75	291	0.4602
FBgn0052850	FBpp0088192	147	0.3878	54	57	0.4011
FBgn0039904	FBpp0088194	1500	0.5953	58	893	0.4254
FBgn0039902	FBpp0309503	297	0.1987	20	59	0.2768
FBgn0042696	FBpp0088208	766	0.7637	131	585	0.4694
FBgn0053481	FBpp0306511	312	0.4295	23	134	0.3744
FBgn0051999	FBpp0088211	917	0.4864	91	446	0.3964
FBgn0051998	FBpp0088212	1459	0.6285	200	917	0.4222
FBgn0039890	FBpp0088215	730	0.3219	63	235	0.3567
FBgn0039889	FBpp0300568	313	0.4824	58	151	0.4053
FBgn0051997	FBpp0088221	148	0.4459	19	66	0.3849
FBgn0052006	FBpp0088237	443	0.8488	224	376	0.4974
FBgn0011747	FBpp0088240	1549	0.2912	35	451	0.3494
FBgn0017545	FBpp0088242	268	0.5448	35	146	0.4062
FBgn0004859	FBpp0088245	1397	0.7588	192	1060	0.4521
FBgn0025740	FBpp0088246	2051	0.4110	82	843	0.3823
FBgn0019985	FBpp0088248	976	0.4232	47	413	0.3732
FBgn0019650	FBpp0428126	655	0.7053	82	462	0.4595
FBgn0010217	FBpp0305828	511	0.1840	22	94	0.3274
FBgn0013749	FBpp0088256	180	0.2944	26	53	0.3635
FBgn0002521	FBpp0088268	520	0.7385	66	384	0.4545
FBgn0052017	FBpp0290214	482	0.8589	112	414	0.4995
FBgn0039928	FBpp0305853	979	0.5587	71	547	0.4074
FBgn0024913	FBpp0088273	946	0.6987	189	661	0.4429
FBgn0011642	FBpp0088275	585	0.6615	168	387	0.4384
FBgn0039929	FBpp0088285	279	0.7025	81	196	0.4536
FBgn0039930	FBpp0088286	168	0.1726	20	29	0.2996
FBgn0039932	FBpp0290550	770	0.7013	82	540	0.4436
FBgn0052016	FBpp0088293	1010	0.8535	146	862	0.5005
FBgn0023213	FBpp0111817	1919	0.7405	208	1421	0.4682
FBgn0039936	FBpp0290107	1574	0.7243	137	1140	0.4748
FBgn0039937	FBpp0088311	599	0.6344	65	380	0.4388
FBgn0039938	FBpp0100057	618	0.7492	102	463	0.4576
FBgn0039923	FBpp0088314	1483	0.7782	119	1154	0.4776
FBgn0024698	FBpp0089163	1455	0.3347	57	487	0.3629
FBgn0030538	FBpp0088324	261	0.7739	76	202	0.4868
FBgn0010473	FBpp0312489	1536	0.6504	197	999	0.4380
FBgn0003386	FBpp0288427	619	0.4120	54	255	0.3614
FBgn0051481	FBpp0088333	782	0.6957	129	544	0.4573
FBgn0004577	FBpp0088343	690	0.4478	28	309	0.3823
FBgn0010453	FBpp0088345	539	0.4954	63	267	0.4105
FBgn0010549	FBpp0291666	1374	0.3988	98	548	0.3638
FBgn0014342	FBpp0088355	589	0.5127	80	302	0.3961
FBgn0032721	FBpp0312552	684	0.3304	27	226	0.3705
FBgn0032720	FBpp0088360	178	0.4775	32	85	0.4054
FBgn0036290	FBpp0088362	317	0.3344	25	106	0.3653
FBgn0036362	FBpp0089010	269	0.3123	34	84	0.3584
FBgn0002565	FBpp0088363	701	0.2254	33	158	0.3479
FBgn0036255	FBpp0289288	111	0.3514	18	39	0.3903
FBgn0025885	FBpp0088368	565	0.4619	35	261	0.3888
FBgn0014018	FBpp0088971	971	0.5839	114	567	0.4284
FBgn0038282	FBpp0088403	602	0.6279	56	378	0.4207
FBgn0040796	FBpp0088999	87	0.1264	2	11	0.2895
FBgn0016047	FBpp0088405	1557	0.7046	128	1097	0.4483
FBgn0030151	FBpp0423137	427	0.4145	26	177	0.3755
FBgn0032851	FBpp0088927	205	0.6341	102	130	0.4384
FBgn0039817	FBpp0288640	521	0.2246	59	117	0.3018
FBgn0003141	FBpp0088417	168	0.6905	30	116	0.4270
FBgn0036039	FBpp0089006	276	0.2319	23	64	0.3519
FBgn0038535	FBpp0088433	874	0.8719	129	762	0.5294
FBgn0053503	FBpp0088436	521	0.5624	55	293	0.4133
FBgn0050489	FBpp0088437	521	0.5605	55	292	0.4116
FBgn0000109	FBpp0088438	182	0.2033	16	37	0.3016
FBgn0039757	FBpp0088970	194	0.5052	35	98	0.4110
FBgn0042173	FBpp0088442	330	0.5000	86	165	0.4202
FBgn0003892	FBpp0088443	1286	0.3865	155	497	0.3494
FBgn0005278	FBpp0088446	408	0.3382	27	138	0.3554
FBgn0052000	FBpp0112329	1451	0.4597	78	667	0.3693
FBgn0021760	FBpp0088469	1491	0.4990	86	744	0.4128
FBgn0036640	FBpp0088483	841	0.3769	42	317	0.3738
FBgn0067783	FBpp0088485	365	0.4575	30	167	0.3757
FBgn0035981	FBpp0088493	390	0.6872	92	268	0.4799
FBgn0001098	FBpp0088988	562	0.4235	65	238	0.3789
FBgn0002174	FBpp0088955	520	0.5538	55	288	0.4135
FBgn0017418	FBpp0088499	503	0.5427	53	273	0.4072
FBgn0002921	FBpp0088502	1041	0.3650	50	380	0.3450
FBgn0000083	FBpp0088985	324	0.3333	39	108	0.3651
FBgn0011672	FBpp0303079	639	0.2175	36	139	0.2857
